"","ds_id","auth_id","timestamp"
"282","doi:10.7281/T1/HVRF8B","0000-0002-8383-4259",2021-10-25 15:35:24
"283","doi:10.7281/T1/IRMGH8","132",2024-02-28 12:19:18
"284","doi:10.7281/T1/RDLYMJ","133",2024-09-13 19:49:27
"285","doi:10.7281/T1/GH4EF2","134",2021-02-22 21:23:35
"286","doi:10.7281/T1/4WX5QC","135",2021-07-19 20:41:03
"287","doi:10.7281/T1/7IXSOP","0000-0002-0773-7473",2022-09-23 16:12:59
"288","doi:10.7281/T1/UMDMQK","136",2019-05-30 19:51:49
"289","doi:10.7281/T1/EM61IB","137",2019-05-30 19:52:02
"290","doi:10.7281/T1/H1ZPLI","0000-0003-1139-3711",2023-07-06 16:00:37
"291","doi:10.7281/T1/FPN6MI","0000-0003-1139-3711",2023-08-03 20:18:29
"292","doi:10.7281/T1/EQKCFP","0000-0003-1139-3711",2023-10-20 13:46:16
"293","doi:10.7281/T1/AGLFQ2","0000-0002-8296-537X",2024-03-18 18:32:52
"294","doi:10.7281/T1/NTWJAR","138",2024-02-23 20:28:34
"295","doi:10.7281/T1/WYN7FI","139",2024-07-30 14:30:55
"296","doi:10.7281/T1/C4RVLS","0000-0002-1267-8156",2024-01-09 16:15:38
"297","doi:10.7281/T1/D06YVM","140",2017-07-12 18:28:45
"298","doi:10.7281/T1/PIVKJ7","141",2023-11-16 15:58:05
"299","doi:10.7281/T1/BXJT0B","0000-0001-7190-7396",2021-12-21 17:56:17
"300","doi:10.7281/T1/KTOG9W","0000-0002-6621-6096",2024-05-02 20:09:40
"301","doi:10.7281/T1D798BQ","142",2016-06-01
"302","doi:10.7281/T1/C6MCOX","0000-0001-6447-5425",2019-04-29 15:12:30
"303","doi:10.7281/T1/XTSKOW","0000-0001-6447-5425",2017-09-19 13:08:30
"304","doi:10.7281/T1/DX9DL8","0000-0001-6447-5425",2018-11-12 18:48:14
"305","doi:10.7281/T1/QS3QFT","0000-0001-6447-5425",2024-03-26 20:35:29
"306","doi:10.7281/T1/F5PD42","0000-0001-6447-5425",2024-04-02 12:46:37
"307","doi:10.7281/T1/UDTJPD","0000-0001-6447-5425",2020-02-20 18:10:12
"308","doi:10.7281/T1RN35S8","0000-0001-9397-4282",2015-08-25
"309","doi:10.7281/T1/XGVRX0","0000-0001-5680-6554",2022-06-23 16:11:51
"310","doi:10.7281/T1/4F90KQ","143",2020-04-09 12:26:47
"311","doi:10.7281/T1/KTOG9W","0000-0003-3901-4357",2024-05-02 20:09:40
"312","doi:10.7281/T1/PIVKJ7","144",2023-11-16 15:58:05
"313","doi:10.7281/T1/8OFLMF","0000-0003-3851-3218",2022-06-17 19:59:53
"314","doi:10.7281/T1/NT8FQN","0000-0003-3851-3218",2022-06-23 19:23:06
"315","doi:10.7281/T1/0JWMF0","145",2022-06-23 19:23:43
"316","doi:10.7281/T1/YUHUYN","0000-0003-3851-3218",2023-05-23 20:37:12
"317","doi:10.7281/T1/8VU7A2","0000-0003-3851-3218",2023-05-09 12:24:18
"318","doi:10.7281/T1/KWDKME","0000-0003-3851-3218",2024-04-11 15:30:47
"319","doi:10.7281/T1/IVVFCM","146",2023-04-21 16:24:52
"320","doi:10.7281/T1/2PGJQU","0000-0001-6798-8381",2023-03-08 20:14:56
"321","doi:10.7281/T1/IFSXNV","0000-0001-6798-8381",2020-10-15 12:47:22
"322","doi:10.7281/T1/C304HZ","147",2022-03-30 19:24:13
"323","doi:10.7281/T1/2QCZXM","148",2024-02-06 19:41:07
"324","doi:10.7281/T1/QGOMA0","0000-0002-9794-5056",2020-05-13 17:30:30
"325","doi:10.7281/T1/LJ9FLW","0000-0002-9794-5056",2022-04-19 11:56:18
"326","doi:10.7281/T1/TLEBVW","0000-0003-0330-415X",2017-12-20 18:16:30
"327","doi:10.7281/T1/K08BJZ","149",2022-09-06 17:25:29
"328","doi:10.7281/T1MW2F2Z","0000-0002-8542-4835",2015-08-25
"329","doi:10.7281/T1CC0XMT","0000-0002-8542-4835",2015-08-25
"330","doi:10.7281/T17P8W98","0000-0002-8542-4835",2015-08-25
"331","doi:10.7281/T1H41PBJ","0000-0002-8542-4835",2015-08-25
"332","doi:10.7281/T1RN35S8","0000-0002-8542-4835",2015-08-25
"333","doi:10.7281/T1WD3XHM","0000-0002-8542-4835",2015-08-25
"334","doi:10.7281/T1/KOTDPY","0000-0001-9635-7220",2024-08-30 14:03:32
"335","doi:10.7281/T1/4F90KQ","150",2020-04-09 12:26:47
"336","doi:10.7281/T1/4RZTRN","151",2021-11-05 18:59:17
"337","doi:10.7281/T1/AGLFQ2","0000-0002-7617-3544",2024-03-18 18:32:52
"338","doi:10.7281/T1/8BOXVM","0000-0002-3704-9217",2023-07-06 17:19:37
"339","doi:10.7281/T1/OY2X8T","0000-0001-9723-8530",2023-03-29 19:01:43
"340","doi:10.7281/T1/NTWJAR","0000-0002-6552-3297",2024-02-23 20:28:34
"341","doi:10.7281/T1/IVVFCM","0000-0002-6552-3297",2023-04-21 16:24:52
"342","doi:10.7281/T1/7IXSOP","152",2022-09-23 16:12:59
